Player,Minutes Played,Starting,Substitute,Substituted In,Substituted Out,Position,Age,Market Value,Club
Sascha Meyer,3,0,2,1,0,Attacking Midfield,17,,FC Luzern
Sayfallah Ltaief,1797,20,9,9,16,Left Midfield,23,,FC Winterthur
Sebastian Breza,450,5,9,0,0,Goalkeeper,25,,Yverdon Sport FC
Selmin Hodza,39,0,11,4,0,Right-Back,20,,FC Zürich
Sergio López,88,1,2,2,1,Right-Back,24,,FC Basel 1893
Serif Berbic,180,2,15,0,0,Goalkeeper,22,,FC Lugano
Severin Ottiger,1747,21,9,5,9,Right-Back,20,,FC Luzern
Seydou Traoré,2,0,8,1,0,Centre-Forward,19,,FC Lausanne-Sport
Shaho Maroufi,29,0,2,2,0,Central Midfield,30,,FC Stade-Lausanne-Ouchy
Shkelqim Vladi,1129,14,12,9,11,Centre-Forward,23,,FC Lugano
Silvan Sidler,1792,19,11,6,4,Right-Back,25,,FC Winterthur
Silvan Wallner,599,5,24,8,2,Centre-Back,22,,FC Zürich
Silvere Ganvoula,1138,11,20,18,7,Centre-Forward,27,,BSC Young Boys
Simone Grippo,117,1,6,3,1,Centre-Back,35,,FC Lausanne-Sport
Simone Pafundi,584,7,4,4,7,Attacking Midfield,18,,FC Lausanne-Sport
Sofyan Chader,931,11,12,9,11,Left Winger,23,,FC Luzern
Souleymane Diaby,1729,20,9,4,10,Left-Back,24,,FC Winterthur
Steve Rouiller,2494,29,0,0,3,Centre-Back,33,,Servette FC
Steven Deana,210,2,19,1,0,Goalkeeper,34,,Grasshopper Club Zurich
Stjepan Kukuruzovic,68,0,29,8,0,Central Midfield,34,,FC Lausanne-Sport
Takuma Nishimura,417,5,2,2,5,Second Striker,27,,Servette FC
Taulant Xhaka,1326,15,8,5,7,Defensive Midfield,33,,FC Basel 1893
Teddy Okou,1405,18,11,8,17,Right Winger,25,,FC Luzern
Theo Corbeanu,1024,12,4,4,11,Right Midfield,21,,Grasshopper Club Zurich
Thibault Corbaz,351,3,19,11,2,Defensive Midfield,30,,FC Winterthur
Thibault Klidjé,665,7,15,10,7,Centre-Forward,22,,FC Luzern
Thierno Barry,1795,20,8,8,8,Centre-Forward,21,,FC Basel 1893
Thomas Castella,450,5,23,0,0,Goalkeeper,30,,FC Lausanne-Sport
Théo Magnin,235,2,18,6,2,Right-Back,20,,Servette FC
Théo Ndicka Matam,1075,11,14,11,4,Left-Back,23,,Grasshopper Club Zurich
Tiemoko Ouattara,0,0,12,0,0,Left Winger,18,,Servette FC
Tim Meyer,632,6,16,10,5,Defensive Midfield,19,,Grasshopper Club Zurich
Tim Pfeiffer,0,0,1,0,0,Goalkeeper,18,,FC Basel 1893
Timothé Cognat,2505,29,1,1,9,Central Midfield,26,,Servette FC
Tobias Schättin,992,11,11,5,6,Left-Back,26,,FC Winterthur
Toichi Suzuki,233,1,13,10,1,Left Midfield,23,,FC Lausanne-Sport
Trae Coyle,102,1,18,8,1,Left Winger,23,,FC Lausanne-Sport
Tristan Zesiger,0,0,10,0,0,Goalkeeper,21,,FC Stade-Lausanne-Ouchy
Tsiy Ndenge,1893,22,2,2,8,Central Midfield,26,,Grasshopper Club Zurich
Ulisses Garcia,882,9,5,5,3,Left-Back,27,,BSC Young Boys
Uran Bislimi,1688,22,6,6,17,Central Midfield,24,,FC Lugano
Valon Hamdiu,753,9,16,6,7,Defensive Midfield,25,,FC Stade-Lausanne-Ouchy
Varol Tasar,1662,22,1,1,18,Right Winger,27,,Yverdon Sport FC
Vasco Tritten,0,0,1,0,0,Attacking Midfield,18,,Servette FC
Vaso Vasic,0,0,31,0,0,Goalkeeper,33,,FC Luzern
Vitalie Damaşcan,340,3,6,6,2,Centre-Forward,25,,FC Stade-Lausanne-Ouchy
Vladan Vidakovic,294,2,10,6,0,Defensive Midfield,25,,Yverdon Sport FC
Víctor Ruiz,238,2,5,5,2,Attacking Midfield,30,,FC St. Gallen 1879
Willem Geubbels,1549,22,5,4,21,Centre-Forward,22,,FC St. Gallen 1879
William Le Pogam,2105,24,2,0,4,Left-Back,31,,Yverdon Sport FC
Wouter Burger,270,3,0,0,0,Defensive Midfield,22,,FC Basel 1893
Yanick Brecher,2790,31,0,0,0,Goalkeeper,30,,FC Zürich
Yanis Cimignani,1401,17,12,10,14,Left Midfield,22,,FC Lugano
Yannick Cotter,0,0,5,0,0,Left Winger,22,,Yverdon Sport FC
Yannick Schmid,852,10,17,1,3,Centre-Back,28,,FC Winterthur
Yannis Ryter,0,0,1,0,0,Central Midfield,18,,FC Basel 1893
Yoan Severin,2306,25,4,2,2,Centre-Back,27,,Servette FC
Yusuf Demir,566,6,8,5,6,Right Winger,20,,FC Basel 1893
Zachary Hadji,102,1,6,4,1,Centre-Forward,27,,FC Stade-Lausanne-Ouchy
Zan Celar,1728,18,11,11,12,Centre-Forward,25,,FC Lugano
Zivko Kostadinovic,0,0,31,0,0,Goalkeeper,31,,FC Zürich
