Match ID,Home Team,Away Team,Result,League
4089792,BSC Young Boys,FC St. Gallen 1879,"3:0
(2:0)",Super League
4089793,Yverdon Sport FC,FC Stade-Lausanne-Ouchy,"2:1
(0:1)",Super League
4089794,FC Zürich,FC Luzern,"1:1
(0:0)",Super League
4089795,Grasshopper Club Zurich,Yverdon Sport FC,"1:1
(1:0)",Super League
4089796,FC Luzern,FC Basel 1893,"0:1
(0:0)",Super League
4089797,Servette FC,FC Lugano,"2:2
(2:0)",Super League
4089798,FC St. Gallen 1879,FC Zürich,"1:0
(1:0)",Super League
4089799,FC Stade-Lausanne-Ouchy,BSC Young Boys,"1:3
(0:3)",Super League
4089800,FC Winterthur,FC Lausanne-Sport,"1:0
(0:0)",Super League
4089801,FC Lausanne-Sport,FC St. Gallen 1879,"0:1
(0:1)",Super League
4089802,FC Lugano,FC Stade-Lausanne-Ouchy,"2:3
(0:3)",Super League
4089803,FC Winterthur,Servette FC,"3:3
(0:2)",Super League
4089804,BSC Young Boys,Grasshopper Club Zurich,"1:0
(0:0)",Super League
4089805,Yverdon Sport FC,FC Luzern,"2:1
(1:0)",Super League
4089806,FC Zürich,FC Basel 1893,"0:0
(0:0)",Super League
4089807,FC Basel 1893,BSC Young Boys,"1:0
(1:0)",Super League
4089808,Grasshopper Club Zurich,FC Zürich,"2:1
(0:1)",Super League
4089809,FC Luzern,FC Lausanne-Sport,"2:1
(0:1)",Super League
4089810,Servette FC,Yverdon Sport FC,"1:0
(0:0)",Super League
4089811,FC St. Gallen 1879,FC Lugano,"1:4
(0:1)",Super League
4089812,FC Stade-Lausanne-Ouchy,FC Winterthur,"1:3
(0:2)",Super League
4089813,FC Lugano,Grasshopper Club Zurich,"0:0
(0:0)",Super League
4089814,FC St. Gallen 1879,Servette FC,"0:2
(0:2)",Super League
4089815,FC Stade-Lausanne-Ouchy,FC Luzern,"0:3
(0:2)",Super League
4089816,FC Winterthur,FC Basel 1893,"1:3
(0:1)",Super League
4089817,BSC Young Boys,Yverdon Sport FC,"5:1
(2:1)",Super League
4089818,FC Zürich,FC Lausanne-Sport,"2:2
(0:2)",Super League
4089819,FC Basel 1893,FC Lugano,"0:1
(0:0)",Super League
4089820,Grasshopper Club Zurich,FC Winterthur,"0:1
(0:1)",Super League
4089821,FC Lausanne-Sport,BSC Young Boys,"0:1
(0:1)",Super League
4089822,FC Luzern,FC St. Gallen 1879,"1:0
(0:0)",Super League
4089823,Servette FC,FC Stade-Lausanne-Ouchy,"3:1
(2:0)",Super League
4089824,Yverdon Sport FC,FC Zürich,"3:0
(1:0)",Super League
4244785,FC Stade-Lausanne-Ouchy,FC Lausanne-Sport,"1:1
(1:1)",Super League
4244786,FC Zürich,Grasshopper Club Zurich,"1:0
(1:0)",Super League
4244787,FC Lugano,BSC Young Boys,"3:3
(1:1)",Super League
4244788,FC Winterthur,FC Luzern,"2:1
(0:1)",Super League
4244789,FC Basel 1893,FC St. Gallen 1879,"1:0
(0:0)",Super League
4244791,FC Lausanne-Sport,Yverdon Sport FC,"3:1
(3:1)",Super League
4244792,FC St. Gallen 1879,FC Winterthur,"2:2
(1:0)",Super League
4244793,Grasshopper Club Zurich,FC Basel 1893,"2:1
(2:1)",Super League
4244794,BSC Young Boys,FC Stade-Lausanne-Ouchy,"1:0
(0:0)",Super League
4244795,FC Luzern,FC Zürich,"0:1
(0:0)",Super League
4244796,Servette FC,FC Lugano,"2:1
(0:1)",Super League
4244797,FC St. Gallen 1879,FC Stade-Lausanne-Ouchy,"1:0
(0:0)",Super League
4244798,Yverdon Sport FC,FC Basel 1893,"0:2
(0:1)",Super League
4244799,Grasshopper Club Zurich,FC Luzern,"0:1
(0:0)",Super League
4244800,FC Lugano,FC Zürich,"2:0
(1:0)",Super League
4244801,FC Lausanne-Sport,FC Winterthur,"1:1
(1:1)",Super League
4244802,BSC Young Boys,Servette FC,"0:1
(0:1)",Super League
4244803,Servette FC,FC St. Gallen 1879,"2:0
(1:0)",Super League
4244804,FC Stade-Lausanne-Ouchy,Grasshopper Club Zurich,"1:1
(1:1)",Super League
4244805,FC Basel 1893,FC Lausanne-Sport,"1:2
(0:1)",Super League
4244806,FC Luzern,FC Lugano,"0:1
(0:1)",Super League
4244807,FC Winterthur,Yverdon Sport FC,"2:1
(1:0)",Super League
4244808,FC Zürich,BSC Young Boys,"1:0
(1:0)",Super League
4244809,FC Winterthur,Grasshopper Club Zurich,"2:0
(0:0)",Super League
4244810,Yverdon Sport FC,FC Zürich,"3:2
(2:1)",Super League
4244811,FC St. Gallen 1879,FC Lugano,"2:3
(2:1)",Super League
4244812,Servette FC,FC Lausanne-Sport,"3:1
(1:1)",Super League
4244813,FC Stade-Lausanne-Ouchy,FC Luzern,"2:1
(0:0)",Super League
