Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Stade-Lausanne-Ouchy,Home,34',Yellow Card,Valon Hamdiu,Foul,,,4089705
FC Stade-Lausanne-Ouchy,Home,50',Yellow Card,Rayan Kadima,Foul,,,4089705
Servette FC,Away,62',Yellow Card,Jérémy Guillemenot,Foul,,,4089705
Servette FC,Away,64',Yellow Card,Gaël Ondoua,Foul,,,4089705
FC Stade-Lausanne-Ouchy,Home,85',Yellow Card,Alban Ajdini,Foul,,,4089705
Servette FC,Away,90',Yellow Card,Patrick Pflücke,Taking off shirt,,,4089705
BSC Young Boys,Home,3',Goal,Silvere Ganvoula,Right-footed shot,Filip Ugrinic,,4089706
BSC Young Boys,Home,7',Goal,Joël Monteiro,Right-footed shot,Cedric Itten,,4089706
FC Winterthur,Away,38',Goal,Samuel Ballet,Right-footed shot,Alexandre Jankewitz,,4089706
BSC Young Boys,Home,45',Goal,Fabian Rieder,Direct free kick,,,4089706
BSC Young Boys,Home,50',Goal,Cedric Itten,Right-footed shot,Filip Ugrinic,,4089706
FC Winterthur,Away,78',Goal,Sayfallah Ltaief,Right-footed shot,Alexandre Jankewitz,,4089706
BSC Young Boys,Home,90',Goal,Jean-Pierre Nsame,Right-footed shot,Lukasz Lakomy,,4089706
FC Winterthur,Away,46',Substitution,Thibault Corbaz,Tactical,,Matteo Di Giusto,4089706
FC Winterthur,Away,46',Substitution,Tobias Schättin,Tactical,,Souleymane Diaby,4089706
BSC Young Boys,Home,59',Substitution,Lewin Blum,Tactical,,Noah Persson,4089706
FC Winterthur,Away,60',Substitution,Sayfallah Ltaief,Tactical,,Nishan Burkart,4089706
BSC Young Boys,Home,73',Substitution,Jean-Pierre Nsame,Tactical,,Silvere Ganvoula,4089706
BSC Young Boys,Home,73',Substitution,Darian Males,Tactical,,Filip Ugrinic,4089706
FC Winterthur,Away,74',Substitution,Adrian Gantenbein,Tactical,,Silvan Sidler,4089706
FC Winterthur,Away,84',Substitution,Samir Ramizi,Tactical,,Aldin Turkes,4089706
BSC Young Boys,Home,86',Substitution,Meschack Elia,Tactical,,Cedric Itten,4089706
BSC Young Boys,Home,86',Substitution,Kastriot Imeri,Tactical,,Joël Monteiro,4089706
