Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID,matchday,weekday,date,time,Minutes Played,Player Event
Left Winger,Boubacar Fofana,24,€800k,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Right Winger,Alexander Lyng,18,€500k,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Right Winger,Ronny Rodelin,33,€100k,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,9,Substituted In
Centre-Forward,Jérémy Guillemenot,25,€1.30m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,17,Substituted In
Goalkeeper,Lawrence Ati Zigi,26,€2.50m,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Centre-Back,Abdoulaye Diaby,23,€325k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Centre-Back,Albert Vallci,28,€1.00m,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Left-Back,Isaac Schmidt,23,€1.80m,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,72,Substituted Out
Right-Back,Mattia Zanotti,20,€800k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Defensive Midfield,Jordi Quintillà,29,€1.30m,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Defensive Midfield,Betim Fazliji,24,€700k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,74,Substituted Out
Right Midfield,Lukas Görtler,29,€2.00m,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Left Midfield,Christian Witzig,22,€800k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Centre-Forward,Julian Von Moos,22,€1.70m,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,62,Substituted Out
Centre-Forward,Willem Geubbels,21,€1.80m,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,62,Substituted Out
Goalkeeper,Lukas Watkowiak,27,€200k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Centre-Back,Justin Janitzek,19,€500k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Right-Back,Patrick Sutter,24,€400k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,18,Substituted In
Central Midfield,Mihailo Stevanovic,21,€300k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Attacking Midfield,Richard van der Venne,31,€500k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Attacking Midfield,Grégory Karlen,28,€300k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,16,Substituted In
Right Winger,Chadrac Akolo,28,€800k,FC St. Gallen 1879,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089694,1. Matchday,Sat,2023-07-22,6:00 PM,28,Substituted In
