Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
Grasshopper Club Zurich,Home,41',Goal,Meritan Shabani,Left-footed shot,,,3841079
Grasshopper Club Zurich,Home,67',Goal,Petar Pusic,Left-footed shot,Guilherme Schettine,,3841079
Grasshopper Club Zurich,Home,46',Substitution,Giotto Morandi,Tactical,,Christian Herc,3841079
FC Lugano,Away,58',Substitution,Ignacio Aliseda,Tactical,,Mohamed Amoura,3841079
Grasshopper Club Zurich,Home,63',Substitution,Petar Pusic,Tactical,,Meritan Shabani,3841079
FC Lugano,Away,74',Substitution,Boris Babic,Tactical,,Uran Bislimi,3841079
FC Lugano,Away,74',Substitution,Jhon Espinoza,Tactical,,Roman Macek,3841079
Grasshopper Club Zurich,Home,84',Substitution,Tsiy Ndenge,Tactical,,Amir Abrashi,3841079
FC Lugano,Away,84',Substitution,Mickaël Facchinetti,Tactical,,Milton Valenzuela,3841079
FC Lugano,Away,84',Substitution,Mattia Bottani,Tactical,,Ousmane Doumbia,3841079
Grasshopper Club Zurich,Home,90',Substitution,Dion Kacuri,Delay,,Renat Dadashov,3841079
Grasshopper Club Zurich,Home,37',Yellow Card,Dominik Schmid,Foul,,,3841079
Grasshopper Club Zurich,Home,56',Yellow Card,Meritan Shabani,Foul,,,3841079
Grasshopper Club Zurich,Home,76',Yellow Card,Renat Dadashov,Time wasting,,,3841079
FC Lugano,Away,90',Yellow Card,Allan Arigoni,Foul,,,3841079
FC Sion,Away,50',Goal,Giovanni Sio,Left-footed shot,Itaitinga,,3841080
FC Luzern,Home,80',Goal,Martin Frydek,Direct free kick,,,3841080
FC Sion,Away,90',Goal,Kevin Bua,Right-footed shot,Itaitinga,,3841080
FC Luzern,Home,60',Substitution,Pascal Schürpf,Tactical,,Dejan Sorgic,3841080
FC Sion,Away,64',Substitution,Kevin Bua,Tactical,,Ilyas Chouaref,3841080
FC Luzern,Home,75',Substitution,Severin Ottiger,Tactical,,Mohamed Dräger,3841080
FC Luzern,Home,75',Substitution,Lars Villiger,Tactical,,Asumah Abubakar,3841080
FC Sion,Away,77',Substitution,Musa Araz,Injury,,Mario Balotelli,3841080
FC Sion,Away,83',Substitution,Abdel Zagré,Tactical,,Giovanni Sio,3841080
FC Sion,Away,2',Yellow Card,Reto Ziegler,Foul,,,3841080
FC Sion,Away,36',Yellow Card,Mario Balotelli,Unsporting behaviour,,,3841080
FC Luzern,Home,36',Yellow Card,Luca Jaquez,Foul,,,3841080
FC Sion,Away,61',Yellow Card,Gora Diouf,Time wasting,,,3841080
FC Luzern,Home,64',Yellow Card,Max Meyer,Dissent,,,3841080
FC Luzern,Home,64',Yellow-Red Card,Max Meyer,Unsporting behaviour,,,3841080
FC Sion,Away,75',Yellow Card,Dimitri Cavaré,Foul,,,3841080
FC Luzern,Home,84',Yellow Card,Lars Villiger,Foul,,,3841080
FC Luzern,Home,89',Yellow Card,Pius Dorn,Foul,,,3841080
BSC Young Boys,Away,25',Goal,Jean-Pierre Nsame,Header,Lewin Blum,,3841081
Servette FC,Home,69',Goal,Chris Bedia,Right-footed shot,Hussayn Touati,,3841081
Servette FC,Home,84',Goal,Patrick Pflücke,Tap-in,Chris Bedia,,3841081
Servette FC,Home,62',Substitution,Patrick Pflücke,Tactical,,Alexis Antunes,3841081
Servette FC,Home,62',Substitution,Théo Valls,Tactical,,Boris Céspedes,3841081
Servette FC,Home,62',Substitution,Hussayn Touati,Tactical,,Dereck Kutesa,3841081
BSC Young Boys,Away,66',Substitution,Cedric Itten,Tactical,,Jean-Pierre Nsame,3841081
BSC Young Boys,Away,66',Substitution,Cheikh Niasse,Tactical,,Fabian Rieder,3841081
BSC Young Boys,Away,66',Substitution,Miguel Chaiwa,Tactical,,Quentin Maceiras,3841081
BSC Young Boys,Away,75',Substitution,Meschack Elia,Tactical,,Joël Monteiro,3841081
Servette FC,Home,81',Substitution,Samba Diba,Injury,,Timothé Cognat,3841081
Servette FC,Home,87',Substitution,Ronny Rodelin,Tactical,,Chris Bedia,3841081
BSC Young Boys,Away,87',Substitution,Kastriot Imeri,Tactical,,Sandro Lauper,3841081
BSC Young Boys,Away,13',Yellow Card,Fabian Rieder,Foul,,,3841081
Servette FC,Home,34',Yellow Card,Alexis Antunes,Foul,,,3841081
BSC Young Boys,Away,53',Yellow Card,Jean-Pierre Nsame,Foul,,,3841081
Servette FC,Home,56',Yellow Card,Boris Céspedes,Foul,,,3841081
BSC Young Boys,Away,67',Yellow Card,Aurèle Amenda,Foul,,,3841081
BSC Young Boys,Away,71',Yellow Card,Joël Monteiro,Foul,,,3841081
BSC Young Boys,Away,82',Yellow Card,Lewin Blum,Foul,,,3841081
FC Zürich,Away,26',Goal,Aiyegun Tosin,Right-footed shot,Blerim Dzemaili,,3841082
FC St. Gallen 1879,Home,44',Goal,Jérémy Guillemenot,Right-footed shot,Lukas Görtler,,3841082
FC St. Gallen 1879,Home,51',Goal,Emmanuel Latte Lath,Left-footed shot,Christian Witzig,,3841082
FC Zürich,Away,56',Goal,Jonathan Okita,Right-footed shot,Antonio Marchesano,,3841082
FC St. Gallen 1879,Home,46',Substitution,Leon Dajaku,Tactical,,Randy Schneider,3841082
FC Zürich,Away,46',Substitution,Jonathan Okita,Tactical,,Aiyegun Tosin,3841082
FC Zürich,Away,67',Substitution,Marc Hornschuh,Tactical,,Blerim Dzemaili,3841082
FC St. Gallen 1879,Home,72',Substitution,Grégory Karlen,Tactical,,Albert Vallci,3841082
FC St. Gallen 1879,Home,72',Substitution,Willem Geubbels,Tactical,,Jérémy Guillemenot,3841082
FC Zürich,Away,79',Substitution,Roko Simic,Tactical,,Bledian Krasniqi,3841082
FC Zürich,Away,79',Substitution,Junior Ligue,Tactical,,Antonio Marchesano,3841082
FC Zürich,Away,87',Substitution,Ole Selnæs,Tactical,,Jonathan Okita,3841082
FC Zürich,Away,23',Yellow Card,Fidan Aliti,Foul,,,3841082
FC Zürich,Away,36',Yellow Card,Becir Omeragic,Foul,,,3841082
FC Zürich,Away,44',Yellow Card,Blerim Dzemaili,Dissent,,,3841082
FC Zürich,Away,44',Yellow Card,Yanick Brecher,Dissent,,,3841082
FC St. Gallen 1879,Home,52',Yellow Card,Basil Stillhart,Foul,,,3841082
FC St. Gallen 1879,Home,70',Yellow Card,Leonidas Stergiou,Foul,,,3841082
FC St. Gallen 1879,Home,73',Yellow Card,Leon Dajaku,Foul,,,3841082
FC Zürich,Away,85',Yellow-Red Card,Becir Omeragic,Handball,,,3841082
FC St. Gallen 1879,Home,90',Yellow-Red Card,Leon Dajaku,Handball,,,3841082
FC Zürich,Away,90',Yellow Card,Mirlind Kryeziu,Foul,,,3841082
FC Lugano,Home,22',Goal,Renato Steffen,Left-footed shot,Ignacio Aliseda,,3841093
FC St. Gallen 1879,Away,90',Goal,Chadrac Akolo,Penalty,,,3841093
FC St. Gallen 1879,Away,36',Substitution,Albert Vallci,Injury,,Matej Maglica,3841093
FC St. Gallen 1879,Away,46',Substitution,Willem Geubbels,Tactical,,Grégory Karlen,3841093
FC Lugano,Home,55',Substitution,Uran Bislimi,Tactical,,Boris Babic,3841093
FC Lugano,Home,59',Substitution,Mickaël Facchinetti,Tactical,,Milton Valenzuela,3841093
FC Lugano,Home,59',Substitution,Mattia Bottani,Tactical,,Jhon Espinoza,3841093
FC St. Gallen 1879,Away,74',Substitution,Chadrac Akolo,Tactical,,Jérémy Guillemenot,3841093
FC St. Gallen 1879,Away,74',Substitution,Alessandro Kräuchi,Tactical,,Patrick Sutter,3841093
FC Lugano,Home,79',Substitution,Mohamed Amoura,Tactical,,Ignacio Aliseda,3841093
FC St. Gallen 1879,Away,82',Substitution,Noha Ndombasi,Tactical,,Christian Witzig,3841093
FC Lugano,Home,13',Yellow Card,Albian Hajdari,Foul,,,3841093
FC St. Gallen 1879,Away,61',Yellow Card,Lukas Görtler,Foul,,,3841093
FC Lugano,Home,63',Yellow Card,Renato Steffen,Foul,,,3841093
FC St. Gallen 1879,Away,85',Yellow Card,Albert Vallci,Foul,,,3841093
FC St. Gallen 1879,Away,90',Yellow Card,Jordi Quintillà,Dissent,,,3841093
FC Lugano,Home,90',Yellow Card,Mickaël Facchinetti,Handball,,,3841093
Servette FC,Away,23',Goal,Enzo Crivelli,Tap-in,Miroslav Stevanovic,,3841094
FC Sion,Home,34',Goal,Anto Grgic,Penalty,,,3841094
FC Sion,Home,56',Goal,Itaitinga,Header,Reto Ziegler,,3841094
Servette FC,Away,69',Goal,Miroslav Stevanovic,Right-footed shot,Enzo Crivelli,,3841094
Servette FC,Away,72',Substitution,Chris Bedia,Tactical,,Dereck Kutesa,3841094
Servette FC,Away,72',Substitution,Hussayn Touati,Tactical,,Patrick Pflücke,3841094
